Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AF-2687-10A-01D-1732-01	13	86495320	114987458	17935	0.0065
TCGA-AF-2687-10A-01D-1732-01	14	20501368	49610464	14767	7e-04
TCGA-AF-2687-10A-01D-1732-01	14	49611376	49616408	2	-1.6064
TCGA-AF-2687-10A-01D-1732-01	14	49620372	105988038	34634	-8e-04
TCGA-AF-2687-10A-01D-1732-01	15	23687685	101884307	44497	0.0017
TCGA-AF-2687-10A-01D-1732-01	16	653459	89379936	40765	-3e-04
TCGA-AF-2687-10A-01D-1732-01	17	987221	80917016	36959	9e-04
TCGA-AF-2687-10A-01D-1732-01	18	329586	77109240	42637	0.0016
TCGA-AF-2687-10A-01D-1732-01	19	284018	58878226	23935	0.0031
TCGA-AF-2687-10A-01D-1732-01	20	455764	5731199	3058	-0.0102
TCGA-AF-2687-10A-01D-1732-01	20	5732675	5737039	3	-1.7659
TCGA-AF-2687-10A-01D-1732-01	20	5743282	62219837	34178	0.004
TCGA-AF-2687-10A-01D-1732-01	21	15347621	47678774	20571	-0.0016
TCGA-AF-2687-10A-01D-1732-01	22	17423930	49331012	16920	3e-04
TCGA-AF-2687-10A-01D-1732-01	23	3157107	150940194	62521	-5e-04
TCGA-AF-2687-10A-01D-1732-01	23	150940266	150941342	2	-5.0959
TCGA-AF-2687-10A-01D-1732-01	23	150941619	154905589	829	0.0105
TCGA-AF-2687-01A-02D-1732-01	1	3218610	50789051	25028	-0.1879
TCGA-AF-2687-01A-02D-1732-01	1	50790927	50791766	3	-2.2958
TCGA-AF-2687-01A-02D-1732-01	1	50794187	149881398	42550	-0.1878
TCGA-AF-2687-01A-02D-1732-01	1	149882014	186178238	22515	0.1272
TCGA-AF-2687-01A-02D-1732-01	1	186178545	186240862	47	-0.1594
TCGA-AF-2687-01A-02D-1732-01	1	186241705	186243792	5	0.8512
TCGA-AF-2687-01A-02D-1732-01	1	186247924	188584273	1495	-0.2028
TCGA-AF-2687-01A-02D-1732-01	1	188587089	188736855	84	0.0633
TCGA-AF-2687-01A-02D-1732-01	1	188743900	204692210	9438	-0.1884
TCGA-AF-2687-01A-02D-1732-01	1	204693036	204694080	3	-1.6627
TCGA-AF-2687-01A-02D-1732-01	1	204694686	210777264	4000	-0.1819
TCGA-AF-2687-01A-02D-1732-01	1	210778333	210780547	3	-1.8546
TCGA-AF-2687-01A-02D-1732-01	1	210782925	227179037	10422	-0.187
TCGA-AF-2687-01A-02D-1732-01	1	227180074	227180858	2	-1.8929
TCGA-AF-2687-01A-02D-1732-01	1	227180981	233680563	4205	-0.1832
TCGA-AF-2687-01A-02D-1732-01	1	233684175	233684352	2	-1.8211
TCGA-AF-2687-01A-02D-1732-01	1	233685910	238850977	3728	-0.1996
TCGA-AF-2687-01A-02D-1732-01	1	238852267	238856094	10	-0.8775
TCGA-AF-2687-01A-02D-1732-01	1	238862449	240134702	918	-0.1995
TCGA-AF-2687-01A-02D-1732-01	1	240135772	240676115	461	-0.5459
TCGA-AF-2687-01A-02D-1732-01	1	240676510	247813706	3861	-0.2286
TCGA-AF-2687-01A-02D-1732-01	2	484222	4115039	1634	0.1128
TCGA-AF-2687-01A-02D-1732-01	2	4119318	4126904	7	-1.0221
TCGA-AF-2687-01A-02D-1732-01	2	4130707	18808299	10066	0.1568
TCGA-AF-2687-01A-02D-1732-01	2	18812057	18917654	57	-0.2145
TCGA-AF-2687-01A-02D-1732-01	2	18918871	69523077	28680	0.1616
TCGA-AF-2687-01A-02D-1732-01	2	69523838	69525721	2	-1.0972
TCGA-AF-2687-01A-02D-1732-01	2	69525923	79896675	5374	0.1692
TCGA-AF-2687-01A-02D-1732-01	2	79898705	79898730	2	-2.4339
TCGA-AF-2687-01A-02D-1732-01	2	79901636	80577921	583	0.1413
TCGA-AF-2687-01A-02D-1732-01	2	80577991	80580004	4	-1.7215
TCGA-AF-2687-01A-02D-1732-01	2	80581590	87053719	3408	0.1583
TCGA-AF-2687-01A-02D-1732-01	2	87055176	87055249	2	-1.6885
TCGA-AF-2687-01A-02D-1732-01	2	87056805	137032398	20962	0.157
TCGA-AF-2687-01A-02D-1732-01	2	137034466	137037119	2	-1.3698
TCGA-AF-2687-01A-02D-1732-01	2	137037386	140681274	1897	0.1434
TCGA-AF-2687-01A-02D-1732-01	2	140682646	140695101	5	-0.6337
TCGA-AF-2687-01A-02D-1732-01	2	140695463	231258615	52014	0.1118
TCGA-AF-2687-01A-02D-1732-01	2	231265351	231266278	2	2.0239
TCGA-AF-2687-01A-02D-1732-01	2	231267643	231651038	211	0.1086
TCGA-AF-2687-01A-02D-1732-01	2	231651491	231959314	169	-0.2159
TCGA-AF-2687-01A-02D-1732-01	2	231959650	238160874	3737	0.1176
TCGA-AF-2687-01A-02D-1732-01	2	238161747	238165435	2	-1.2352
TCGA-AF-2687-01A-02D-1732-01	2	238166147	242476062	2373	0.1083
TCGA-AF-2687-01A-02D-1732-01	3	2212571	11047916	5157	-0.0452
TCGA-AF-2687-01A-02D-1732-01	3	11049133	11049517	2	-1.6336
TCGA-AF-2687-01A-02D-1732-01	3	11050071	38657899	16546	-0.0305
TCGA-AF-2687-01A-02D-1732-01	3	38657945	38659275	2	-2.2335
TCGA-AF-2687-01A-02D-1732-01	3	38660936	197538677	84525	-0.0334
TCGA-AF-2687-01A-02D-1732-01	4	1053934	38477280	23158	-0.2183
TCGA-AF-2687-01A-02D-1732-01	4	38477590	38624629	109	-0.6691
TCGA-AF-2687-01A-02D-1732-01	4	38624750	127630276	46961	-0.2131
TCGA-AF-2687-01A-02D-1732-01	4	127631088	127632219	2	-2.3462
TCGA-AF-2687-01A-02D-1732-01	4	127639157	128853347	520	-0.22
TCGA-AF-2687-01A-02D-1732-01	4	128860222	171858277	23353	0.1848
TCGA-AF-2687-01A-02D-1732-01	4	171860117	171860128	2	-1.7484
TCGA-AF-2687-01A-02D-1732-01	4	171860893	172136782	154	0.0409
TCGA-AF-2687-01A-02D-1732-01	4	172137153	172161394	27	-0.3415
TCGA-AF-2687-01A-02D-1732-01	4	172162230	177174017	2667	0.0678
TCGA-AF-2687-01A-02D-1732-01	4	177179733	188763651	5575	-0.5923
TCGA-AF-2687-01A-02D-1732-01	5	914233	40303721	23402	0.0849
TCGA-AF-2687-01A-02D-1732-01	5	40307979	40308099	2	-1.4352
TCGA-AF-2687-01A-02D-1732-01	5	40309999	45378456	2507	0.1139
TCGA-AF-2687-01A-02D-1732-01	5	50124856	61026502	6771	-0.342
TCGA-AF-2687-01A-02D-1732-01	5	61027674	61030558	6	-1.5347
TCGA-AF-2687-01A-02D-1732-01	5	61032704	89622691	15072	-0.3334
TCGA-AF-2687-01A-02D-1732-01	5	89626433	89627079	2	-2.3789
TCGA-AF-2687-01A-02D-1732-01	5	89632229	90557033	575	-0.3241
TCGA-AF-2687-01A-02D-1732-01	5	90557218	90557335	2	-1.9505
TCGA-AF-2687-01A-02D-1732-01	5	90563896	95964055	2741	-0.3222
TCGA-AF-2687-01A-02D-1732-01	5	95964823	95965857	2	-1.9436
TCGA-AF-2687-01A-02D-1732-01	5	95966724	101603781	2105	-0.3217
TCGA-AF-2687-01A-02D-1732-01	5	101606893	112934688	6588	-0.7942
TCGA-AF-2687-01A-02D-1732-01	5	112934740	132742126	11293	-0.3242
TCGA-AF-2687-01A-02D-1732-01	5	132742927	132743614	2	-1.8767
TCGA-AF-2687-01A-02D-1732-01	5	132743874	133009269	244	-0.3393
TCGA-AF-2687-01A-02D-1732-01	5	133010881	133011503	3	-2.4004
TCGA-AF-2687-01A-02D-1732-01	5	133012034	147673733	8626	-0.3286
TCGA-AF-2687-01A-02D-1732-01	5	147677460	147678423	3	-3.0439
TCGA-AF-2687-01A-02D-1732-01	5	147678849	169794616	14554	-0.3475
TCGA-AF-2687-01A-02D-1732-01	5	169796767	169797426	3	-2.6323
TCGA-AF-2687-01A-02D-1732-01	5	169798156	178571982	4795	-0.3557
TCGA-AF-2687-01A-02D-1732-01	5	178573954	178575429	3	-2.4788
TCGA-AF-2687-01A-02D-1732-01	5	178581859	180360469	884	-0.3756
TCGA-AF-2687-01A-02D-1732-01	6	1014281	117280312	64729	0.2908
TCGA-AF-2687-01A-02D-1732-01	6	117281179	117281853	4	-0.4925
TCGA-AF-2687-01A-02D-1732-01	6	117282115	166258120	29970	0.2458
TCGA-AF-2687-01A-02D-1732-01	6	166259450	166260836	3	-0.6327
TCGA-AF-2687-01A-02D-1732-01	6	166261425	170903919	1750	0.2686
TCGA-AF-2687-01A-02D-1732-01	7	705284	22385302	11078	0.1365
TCGA-AF-2687-01A-02D-1732-01	7	22385661	22385886	2	1.2816
TCGA-AF-2687-01A-02D-1732-01	7	22386552	29647801	4881	0.1348
TCGA-AF-2687-01A-02D-1732-01	7	29648108	29648353	2	-1.5185
TCGA-AF-2687-01A-02D-1732-01	7	29648638	33375109	2326	0.1385
TCGA-AF-2687-01A-02D-1732-01	7	33375687	33830585	318	-0.1509
TCGA-AF-2687-01A-02D-1732-01	7	33838889	35094194	786	0.1299
TCGA-AF-2687-01A-02D-1732-01	7	35095245	35098915	2	-3.6917
TCGA-AF-2687-01A-02D-1732-01	7	35099893	129686608	46613	0.1178
TCGA-AF-2687-01A-02D-1732-01	7	129694738	129698767	2	-1.6539
TCGA-AF-2687-01A-02D-1732-01	7	129699467	140259248	6173	0.1304
TCGA-AF-2687-01A-02D-1732-01	7	140263109	140271713	6	-0.8285
TCGA-AF-2687-01A-02D-1732-01	7	140279595	158385118	9070	0.1341
TCGA-AF-2687-01A-02D-1732-01	8	617667	15111565	7040	-0.0528
TCGA-AF-2687-01A-02D-1732-01	8	15112238	15112267	2	-1.3838
TCGA-AF-2687-01A-02D-1732-01	8	15114515	15622858	327	-0.0696
TCGA-AF-2687-01A-02D-1732-01	8	15623717	15623807	3	-1.64
TCGA-AF-2687-01A-02D-1732-01	8	15624252	38949984	14974	-0.0253
TCGA-AF-2687-01A-02D-1732-01	8	38952995	38953367	2	-2.9619
TCGA-AF-2687-01A-02D-1732-01	8	38955217	51756030	4361	-0.0332
TCGA-AF-2687-01A-02D-1732-01	8	51760441	142305792	54241	0.2171
TCGA-AF-2687-01A-02D-1732-01	8	142307023	142307201	2	-1.1557
TCGA-AF-2687-01A-02D-1732-01	8	142308806	145232496	492	0.2697
TCGA-AF-2687-01A-02D-1732-01	9	789932	15344946	8339	-0.1769
TCGA-AF-2687-01A-02D-1732-01	9	15347518	15348120	4	-2.3445
TCGA-AF-2687-01A-02D-1732-01	9	15348901	71126860	14999	-0.1586
TCGA-AF-2687-01A-02D-1732-01	9	71127724	71935577	706	-0.5662
TCGA-AF-2687-01A-02D-1732-01	9	71943002	120259077	32159	-0.1565
TCGA-AF-2687-01A-02D-1732-01	9	120260121	120261120	4	-1.552
TCGA-AF-2687-01A-02D-1732-01	9	120263714	140938752	11618	-0.1565
TCGA-AF-2687-01A-02D-1732-01	10	415240	50872246	29374	-0.1843
TCGA-AF-2687-01A-02D-1732-01	10	50872402	50872912	2	-2.3508
TCGA-AF-2687-01A-02D-1732-01	10	50873591	95221780	26093	-0.176
TCGA-AF-2687-01A-02D-1732-01	10	95222865	95223013	2	-2.5827
TCGA-AF-2687-01A-02D-1732-01	10	95223825	135225087	25166	-0.1778
TCGA-AF-2687-01A-02D-1732-01	11	456120	134142530	77148	0.0448
TCGA-AF-2687-01A-02D-1732-01	12	889902	60129493	30930	0.0629
TCGA-AF-2687-01A-02D-1732-01	12	60129773	60129856	2	-1.6497
TCGA-AF-2687-01A-02D-1732-01	12	60129896	97035989	22473	0.0558
TCGA-AF-2687-01A-02D-1732-01	12	97037561	97038492	3	-1.517
TCGA-AF-2687-01A-02D-1732-01	12	97041658	133161346	20454	0.0481
TCGA-AF-2687-01A-02D-1732-01	13	19450806	27961940	4666	0.0955
TCGA-AF-2687-01A-02D-1732-01	13	27963891	27965544	2	-2.0314
TCGA-AF-2687-01A-02D-1732-01	13	27967563	67728156	22658	0.0826
TCGA-AF-2687-01A-02D-1732-01	13	67729792	67730036	2	-1.7359
TCGA-AF-2687-01A-02D-1732-01	13	67730774	68915282	437	0.0574
TCGA-AF-2687-01A-02D-1732-01	13	68915693	102157476	20506	0.324
TCGA-AF-2687-01A-02D-1732-01	13	102157590	105117710	2357	0.0772
TCGA-AF-2687-01A-02D-1732-01	13	105119002	114987458	5978	0.3479
TCGA-AF-2687-01A-02D-1732-01	14	20501368	105988038	49371	0.0111
TCGA-AF-2687-01A-02D-1732-01	15	23687685	58060365	18288	-0.1772
TCGA-AF-2687-01A-02D-1732-01	15	58060889	58061031	2	-1.9591
TCGA-AF-2687-01A-02D-1732-01	15	58062001	83724960	15285	-0.1694
TCGA-AF-2687-01A-02D-1732-01	15	83726179	83726267	2	-2.4547
TCGA-AF-2687-01A-02D-1732-01	15	83727419	101884307	10810	-0.1842
TCGA-AF-2687-01A-02D-1732-01	16	653459	1004694	63	0.0136
TCGA-AF-2687-01A-02D-1732-01	16	1005360	1005666	2	-1.5517
TCGA-AF-2687-01A-02D-1732-01	16	1007268	89379936	40672	0.0488
TCGA-AF-2687-01A-02D-1732-01	17	987221	80917016	36932	0.039
TCGA-AF-2687-01A-02D-1732-01	18	329586	77109240	42539	-0.2008
TCGA-AF-2687-01A-02D-1732-01	19	284018	32608345	12190	-0.1743
TCGA-AF-2687-01A-02D-1732-01	19	32611285	35472835	1778	0.1536
TCGA-AF-2687-01A-02D-1732-01	19	35475380	58878226	9905	-0.1567
TCGA-AF-2687-01A-02D-1732-01	20	455764	2204811	1093	0.6197
TCGA-AF-2687-01A-02D-1732-01	20	2205125	2205172	3	-0.4885
TCGA-AF-2687-01A-02D-1732-01	20	2205941	62219837	36192	0.6264
TCGA-AF-2687-01A-02D-1732-01	21	15347621	23046215	4908	-0.1509
TCGA-AF-2687-01A-02D-1732-01	21	23047133	23047817	3	-1.4925
TCGA-AF-2687-01A-02D-1732-01	21	23048157	28109985	3006	-0.178
TCGA-AF-2687-01A-02D-1732-01	21	28110569	28112756	2	-2.3492
TCGA-AF-2687-01A-02D-1732-01	21	28113180	33332811	3501	-0.1541
TCGA-AF-2687-01A-02D-1732-01	21	33333277	33333331	2	-1.5681
TCGA-AF-2687-01A-02D-1732-01	21	33334632	36362733	1889	-0.1561
TCGA-AF-2687-01A-02D-1732-01	21	36363322	36366220	2	-2.1119
TCGA-AF-2687-01A-02D-1732-01	21	36375317	47678774	7215	-0.1426
TCGA-AF-2687-01A-02D-1732-01	22	17423930	49331012	16895	-0.01
TCGA-AF-2687-01A-02D-1732-01	23	3157107	93596095	35715	0.0067
TCGA-AF-2687-01A-02D-1732-01	23	93602043	93602075	2	-5.1847
TCGA-AF-2687-01A-02D-1732-01	23	93602098	110359410	7406	-0.0151
TCGA-AF-2687-01A-02D-1732-01	23	110360631	110361790	5	-4.4815
TCGA-AF-2687-01A-02D-1732-01	23	110366760	137260084	12384	-0.0132
TCGA-AF-2687-01A-02D-1732-01	23	137263149	137340364	62	-1.1491
TCGA-AF-2687-01A-02D-1732-01	23	137340500	145323864	3715	-0.0733
TCGA-AF-2687-01A-02D-1732-01	23	145323912	145366552	44	-0.9597
TCGA-AF-2687-01A-02D-1732-01	23	145366648	154905589	3850	-0.0341
TCGA-AF-2689-10A-01D-0819-01	1	3218610	247813706	129174	0.0044
TCGA-AF-2689-10A-01D-0819-01	2	484222	30983914	18773	0.003
TCGA-AF-2689-10A-01D-0819-01	2	30984286	30984314	2	-1.9849
TCGA-AF-2689-10A-01D-0819-01	2	30984533	242476062	112554	0.0021
TCGA-AF-2689-10A-01D-0819-01	3	2212571	6350235	2002	0.0027
TCGA-AF-2689-10A-01D-0819-01	3	6351737	6351763	2	-2.0219
TCGA-AF-2689-10A-01D-0819-01	3	6352099	197538677	104408	0.0019
TCGA-AF-2689-10A-01D-0819-01	4	1053934	83886901	45684	0.0041
TCGA-AF-2689-10A-01D-0819-01	4	83889847	83900106	5	0.3188
TCGA-AF-2689-10A-01D-0819-01	4	83904997	83917466	12	0.7034
TCGA-AF-2689-10A-01D-0819-01	4	83926989	83957618	20	0.2826
TCGA-AF-2689-10A-01D-0819-01	4	83960101	188763651	57056	0.001
TCGA-AF-2689-10A-01D-0819-01	5	914233	180360469	100533	0.0016
TCGA-AF-2689-10A-01D-0819-01	6	1014281	170903919	96515	0.0026
TCGA-AF-2689-10A-01D-0819-01	7	705284	3825425	1141	0.0279
TCGA-AF-2689-10A-01D-0819-01	7	3825684	3831871	5	-1.4367
TCGA-AF-2689-10A-01D-0819-01	7	3833337	24035127	11048	0.0023
TCGA-AF-2689-10A-01D-0819-01	7	24039878	24040383	2	-2.2684
TCGA-AF-2689-10A-01D-0819-01	7	24040817	158385118	69151	0.0055
TCGA-AF-2689-10A-01D-0819-01	8	617667	133595975	74945	0.0025
TCGA-AF-2689-10A-01D-0819-01	8	133596216	133596998	2	-2.0444
TCGA-AF-2689-10A-01D-0819-01	8	133597036	145232496	6618	0.0138
TCGA-AF-2689-10A-01D-0819-01	9	789932	140938752	68050	0.0023
TCGA-AF-2689-10A-01D-0819-01	10	415240	135225087	80891	0.0025
TCGA-AF-2689-10A-01D-0819-01	11	456120	134142530	77272	0.0028
TCGA-AF-2689-10A-01D-0819-01	12	889902	133161346	73963	0.0011
TCGA-AF-2689-10A-01D-0819-01	13	19450806	56241742	21903	7e-04
TCGA-AF-2689-10A-01D-0819-01	13	56242513	56247498	7	-1.3813
TCGA-AF-2689-10A-01D-0819-01	13	56249063	114987458	34757	0.0022
TCGA-AF-2689-10A-01D-0819-01	14	20501368	41231857	11193	0.0084
TCGA-AF-2689-10A-01D-0819-01	14	41232118	41232502	2	-2.3674
TCGA-AF-2689-10A-01D-0819-01	14	41235096	104134168	37731	5e-04
TCGA-AF-2689-10A-01D-0819-01	14	104134609	104137585	2	-1.7426
TCGA-AF-2689-10A-01D-0819-01	14	104138541	105988038	534	0.04
TCGA-AF-2689-10A-01D-0819-01	15	23687685	47638568	11841	0.0078
TCGA-AF-2689-10A-01D-0819-01	15	47640787	47641066	3	-1.4321
TCGA-AF-2689-10A-01D-0819-01	15	47642034	101884307	32703	0.0072
TCGA-AF-2689-10A-01D-0819-01	16	653459	82226717	36618	0.0035
TCGA-AF-2689-10A-01D-0819-01	16	82227014	82267537	36	-1.3201
TCGA-AF-2689-10A-01D-0819-01	16	82273181	89379936	4153	0.0017
TCGA-AF-2689-10A-01D-0819-01	17	987221	80917016	36999	0.0093
TCGA-AF-2689-10A-01D-0819-01	18	329586	69023652	38953	7e-04
TCGA-AF-2689-10A-01D-0819-01	18	69027305	69029878	3	-1.6132
TCGA-AF-2689-10A-01D-0819-01	18	69030354	77109240	3720	-0.0053
TCGA-AF-2689-10A-01D-0819-01	19	284018	58878226	23957	0.0144
TCGA-AF-2689-10A-01D-0819-01	20	455764	62219837	37289	0.0024
TCGA-AF-2689-10A-01D-0819-01	21	15347621	47678774	20589	7e-04
TCGA-AF-2689-10A-01D-0819-01	22	17423930	49331012	16935	0.007
TCGA-AF-2689-10A-01D-0819-01	23	3157107	154905589	63812	0.0029
TCGA-AF-2689-11A-01D-1550-01	1	3218610	247813706	129022	0.0014
TCGA-AF-2689-11A-01D-1550-01	2	484222	242476062	131199	-2e-04
TCGA-AF-2689-11A-01D-1550-01	3	2212571	104264010	56373	-0.0016
TCGA-AF-2689-11A-01D-1550-01	3	104265023	104265070	2	-1.6819
TCGA-AF-2689-11A-01D-1550-01	3	104265345	197538677	49932	0.0042
TCGA-AF-2689-11A-01D-1550-01	4	1053934	91938172	50407	0.0019
TCGA-AF-2689-11A-01D-1550-01	4	91938392	91938652	3	-1.4021
TCGA-AF-2689-11A-01D-1550-01	4	91938737	188763651	52239	3e-04
TCGA-AF-2689-11A-01D-1550-01	5	914233	180360469	100409	4e-04
TCGA-AF-2689-11A-01D-1550-01	6	1014281	170903919	96387	0.004
TCGA-AF-2689-11A-01D-1550-01	7	705284	3825425	1138	2e-04
TCGA-AF-2689-11A-01D-1550-01	7	3825684	3833849	7	-0.951
TCGA-AF-2689-11A-01D-1550-01	7	3834473	158385118	80119	-0.003
TCGA-AF-2689-11A-01D-1550-01	8	617667	17905241	8997	1e-04
TCGA-AF-2689-11A-01D-1550-01	8	17905558	17905970	2	-1.7484
TCGA-AF-2689-11A-01D-1550-01	8	17909076	32862937	10427	6e-04
TCGA-AF-2689-11A-01D-1550-01	8	32864557	32869279	4	-1.4328
TCGA-AF-2689-11A-01D-1550-01	8	32869480	75363792	21455	-0.0037
TCGA-AF-2689-11A-01D-1550-01	8	75369122	75369692	3	-1.4121
TCGA-AF-2689-11A-01D-1550-01	8	75371192	145232496	40569	0.0017
TCGA-AF-2689-11A-01D-1550-01	9	789932	140938752	67965	0.0036
TCGA-AF-2689-11A-01D-1550-01	10	415240	135225087	80781	-1e-04
TCGA-AF-2689-11A-01D-1550-01	11	456120	81650188	43536	0.0028
TCGA-AF-2689-11A-01D-1550-01	11	81650211	81650691	2	-1.9967
TCGA-AF-2689-11A-01D-1550-01	11	81651069	134142530	33627	-5e-04
TCGA-AF-2689-11A-01D-1550-01	12	889902	133161346	73860	-0.0019
TCGA-AF-2689-11A-01D-1550-01	13	19450806	56241742	21876	-1e-04
TCGA-AF-2689-11A-01D-1550-01	13	56242513	56247498	7	-0.9526
TCGA-AF-2689-11A-01D-1550-01	13	56249063	114987458	34717	-0.0014
TCGA-AF-2689-11A-01D-1550-01	14	20501368	105988038	49408	8e-04
TCGA-AF-2689-11A-01D-1550-01	15	23687685	101884307	44493	0.0046
TCGA-AF-2689-11A-01D-1550-01	16	653459	63819066	24983	0.0014
TCGA-AF-2689-11A-01D-1550-01	16	63819292	63822079	2	-2.4421
TCGA-AF-2689-11A-01D-1550-01	16	63822133	82226717	11591	-0.004
TCGA-AF-2689-11A-01D-1550-01	16	82227014	82267537	36	-0.9173
TCGA-AF-2689-11A-01D-1550-01	16	82273181	89379936	4146	0.0036
TCGA-AF-2689-11A-01D-1550-01	17	987221	80917016	36967	0.0019
TCGA-AF-2689-11A-01D-1550-01	18	329586	77109240	42625	-0.0011
TCGA-AF-2689-11A-01D-1550-01	19	284018	58878226	23932	-0.006
TCGA-AF-2689-11A-01D-1550-01	20	455764	62219837	37246	4e-04
TCGA-AF-2689-11A-01D-1550-01	21	15347621	47678774	20556	-3e-04
TCGA-AF-2689-11A-01D-1550-01	22	17423930	49331012	16915	-0.0016
TCGA-AF-2689-11A-01D-1550-01	23	3157107	154905589	63749	7e-04
TCGA-AF-2689-01A-01D-1549-01	1	3218610	22814289	10668	-0.0586
TCGA-AF-2689-01A-01D-1549-01	1	22814354	23308725	342	0.5418
TCGA-AF-2689-01A-01D-1549-01	1	23309071	89722666	38658	-0.0428
TCGA-AF-2689-01A-01D-1549-01	1	89723344	89725222	3	-1.2355
TCGA-AF-2689-01A-01D-1549-01	1	89726592	247813706	79439	-0.047
TCGA-AF-2689-01A-01D-1549-01	2	484222	42718487	24916	-0.4332
TCGA-AF-2689-01A-01D-1549-01	2	42725177	77762221	20205	0.2359
TCGA-AF-2689-01A-01D-1549-01	2	77765021	77780499	10	-0.3876
TCGA-AF-2689-01A-01D-1549-01	2	77781187	213073428	68289	0.2405
TCGA-AF-2689-01A-01D-1549-01	2	213073699	213148789	56	-0.0776
TCGA-AF-2689-01A-01D-1549-01	2	213149074	236613939	14402	0.2367
TCGA-AF-2689-01A-01D-1549-01	2	236615753	236617424	2	-1.2727
TCGA-AF-2689-01A-01D-1549-01	2	236617437	242476062	3405	0.2088
TCGA-AF-2689-01A-01D-1549-01	3	2212571	11086367	5198	-0.0356
TCGA-AF-2689-01A-01D-1549-01	3	11089380	11090889	2	-1.4195
TCGA-AF-2689-01A-01D-1549-01	3	11092104	23667678	7168	-0.0446
TCGA-AF-2689-01A-01D-1549-01	3	23667879	23669793	2	-1.4613
TCGA-AF-2689-01A-01D-1549-01	3	23672714	73824898	30304	-0.0261
TCGA-AF-2689-01A-01D-1549-01	3	73824911	73829911	2	-1.5077
TCGA-AF-2689-01A-01D-1549-01	3	73831582	197538677	63693	-0.0328
TCGA-AF-2689-01A-01D-1549-01	4	1053934	5548677	2151	-0.0589
TCGA-AF-2689-01A-01D-1549-01	4	5551295	5551377	2	-1.5804
TCGA-AF-2689-01A-01D-1549-01	4	5551682	13270272	4876	-0.0147
TCGA-AF-2689-01A-01D-1549-01	4	13270409	13270876	2	-1.6452
TCGA-AF-2689-01A-01D-1549-01	4	13270954	29927746	11049	-0.0411
TCGA-AF-2689-01A-01D-1549-01	4	29928775	29930825	3	-1.7668
TCGA-AF-2689-01A-01D-1549-01	4	29937264	44737756	8383	-0.0463
TCGA-AF-2689-01A-01D-1549-01	4	44744987	44745070	2	-1.4019
TCGA-AF-2689-01A-01D-1549-01	4	44745344	116847728	37758	-0.0319
TCGA-AF-2689-01A-01D-1549-01	4	116850887	116942805	70	0.4684
TCGA-AF-2689-01A-01D-1549-01	4	116944743	170621223	29302	-0.0414
TCGA-AF-2689-01A-01D-1549-01	4	170622170	170622997	2	-1.938
TCGA-AF-2689-01A-01D-1549-01	4	170626552	188763651	9137	-0.0527
TCGA-AF-2689-01A-01D-1549-01	5	914233	14991541	9689	-0.0723
TCGA-AF-2689-01A-01D-1549-01	5	14995596	15000268	4	0.8986
TCGA-AF-2689-01A-01D-1549-01	5	15002489	59221790	22071	-0.0575
TCGA-AF-2689-01A-01D-1549-01	5	59223240	59232622	8	-0.5971
TCGA-AF-2689-01A-01D-1549-01	5	59234558	59329883	54	-1.2325
TCGA-AF-2689-01A-01D-1549-01	5	59330474	59455212	47	-0.8383
